start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1946,,Withdrew from tournament,Withdrew,"McLeod, Fred",1946,,United Kingdom,,,,,,,
1976,,Died: 1976,Died,"McLeod, Fred",1976,,United Kingdom,,,,,,,
1921,,Born: 1921,Born,"Middlecoff, Cary",1921,,United States,,,,,,,
1947,,Cut from tournament,Cut,"Middlecoff, Cary",1947,,United States,,,,,,,
1948,,21st place,Placed,"Middlecoff, Cary",1948,21,United States,,,,,,,
1949,,"Cary Middlecoff wins at Medinah Country Club, Course No. 3 (Medinah, Illinois) with a score of 286 (+2) and by a margin of 1 stroke, earning $2,000.",Victory,"Middlecoff, Cary",1949,1,United States,"Medinah Country Club, Course No. 3","Medinah, Illinois",Illinois,286,1,2,"2,000.00"
1950,,10th place,Placed,"Middlecoff, Cary",1950,10,United States,,,,,,,
1951,,24th place,Placed,"Middlecoff, Cary",1951,24,United States,,,,,,,
1952,,24th place,Placed,"Middlecoff, Cary",1952,24,United States,,,,,,,
1953,,Withdrew from tournament,Withdrew,"Middlecoff, Cary",1953,,United States,,,,,,,
1954,,11th place,Placed,"Middlecoff, Cary",1954,11,United States,,,,,,,
1955,,21st place,Placed,"Middlecoff, Cary",1955,21,United States,,,,,,,
1956,,"Cary Middlecoff wins for the 2nd time at Oak Hill Country Club, East Course (Rochester, New York) with a score of 281 (+1) and by a margin of 1 stroke, earning $6,000.",Victory,"Middlecoff, Cary",1956,1,United States,"Oak Hill Country Club, East Course","Rochester, New York",New York,281,1,1,"6,000.00"
1957,,2nd place,Placed,"Middlecoff, Cary",1957,2,United States,,,,,,,
1958,,27th place,Placed,"Middlecoff, Cary",1958,27,United States,,,,,,,
1959,,19th place,Placed,"Middlecoff, Cary",1959,19,United States,,,,,,,
1960,,43rd place,Placed,"Middlecoff, Cary",1960,43,United States,,,,,,,
1961,,Cut from tournament,Cut,"Middlecoff, Cary",1961,,United States,,,,,,,
1962,,Cut from tournament,Cut,"Middlecoff, Cary",1962,,United States,,,,,,,
1963,,Cut from tournament,Cut,"Middlecoff, Cary",1963,,United States,,,,,,,
1966,,Withdrew from tournament,Withdrew,"Middlecoff, Cary",1966,,United States,,,,,,,
1998,,Died: 1998,Died,"Middlecoff, Cary",1998,,United States,,,,,,,
1947,,Born: 1947,Born,"Miller, Johnny",1947,,United States,,,,,,,
1966,,8th place,Placed,"Miller, Johnny",1966,8,United States,,,,,,,
1967,,Cut from tournament,Cut,"Miller, Johnny",1967,,United States,,,,,,,
1969,,42nd place,Placed,"Miller, Johnny",1969,42,United States,,,,,,,
1970,,18th place,Placed,"Miller, Johnny",1970,18,United States,,,,,,,
1971,,5th place,Placed,"Miller, Johnny",1971,5,United States,,,,,,,
1972,,7th place,Placed,"Miller, Johnny",1972,7,United States,,,,,,,
1973,,"Johnny Miller wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 279 (-5) and by a margin of 1 stroke, earning $35,000.",Victory,"Miller, Johnny",1973,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,279,1,-5,"35,000.00"
1974,,35th place,Placed,"Miller, Johnny",1974,35,United States,,,,,,,
1975,,38th place,Placed,"Miller, Johnny",1975,38,United States,,,,,,,
1976,,10th place,Placed,"Miller, Johnny",1976,10,United States,,,,,,,
1977,,27th place,Placed,"Miller, Johnny",1977,27,United States,,,,,,,
1978,,6th place,Placed,"Miller, Johnny",1978,6,United States,,,,,,,
1979,,Cut from tournament,Cut,"Miller, Johnny",1979,,United States,,,,,,,
1980,,Cut from tournament,Cut,"Miller, Johnny",1980,,United States,,,,,,,
1981,,23rd place,Placed,"Miller, Johnny",1981,23,United States,,,,,,,
1982,,45th place,Placed,"Miller, Johnny",1982,45,United States,,,,,,,
1983,,Cut from tournament,Cut,"Miller, Johnny",1983,,United States,,,,,,,
1984,,4th place,Placed,"Miller, Johnny",1984,4,United States,,,,,,,
1985,,8th place,Placed,"Miller, Johnny",1985,8,United States,,,,,,,
1986,,45th place,Placed,"Miller, Johnny",1986,45,United States,,,,,,,
1987,,Cut from tournament,Cut,"Miller, Johnny",1987,,United States,,,,,,,
1994,,Cut from tournament,Cut,"Miller, Johnny",1994,,United States,,,,,,,
1933,,Born: 1933,Born,"Moody, Orville",1933,,United States,,,,,,,
1962,,Cut from tournament,Cut,"Moody, Orville",1962,,United States,,,,,,,
1969,,"Orville Moody wins at Champions Golf Club, Cypress Creek Course (Houston, Texas) with a score of 281 (+1) and by a margin of 1 stroke, earning $30,000.",Victory,"Moody, Orville",1969,1,United States,"Champions Golf Club, Cypress Creek Course","Houston, Texas",Texas,281,1,1,"30,000.00"
1970,,Cut from tournament,Cut,"Moody, Orville",1970,,United States,,,,,,,
1971,,27th place,Placed,"Moody, Orville",1971,27,United States,,,,,,,
1972,,15th place,Placed,"Moody, Orville",1972,15,United States,,,,,,,
1973,,Cut from tournament,Cut,"Moody, Orville",1973,,United States,,,,,,,
1975,,Cut from tournament,Cut,"Moody, Orville",1975,,United States,,,,,,,
2008,,Died: 2008,Died,"Moody, Orville",2008,,United States,,,,,,,
1912,,Born: 1912,Born,"Nelson, Byron",1912,,United States,,,,,,,
1934,,Cut from tournament,Cut,"Nelson, Byron",1934,,United States,,,,,,,
1935,,32nd place,Placed,"Nelson, Byron",1935,32,United States,,,,,,,
1936,,Cut from tournament,Cut,"Nelson, Byron",1936,,United States,,,,,,,
1937,,20th place,Placed,"Nelson, Byron",1937,20,United States,,,,,,,
1938,,5th place,Placed,"Nelson, Byron",1938,5,United States,,,,,,,
1939,,"Byron Nelson wins at Philadelphia Country Club, Spring Mill Course (Gladwyne, Pennsylvania) with a score of 284 (-4) in a playoff, earning $1,000.",Victory,"Nelson, Byron",1939,1,United States,"Philadelphia Country Club, Spring Mill Course","Gladwyne, Pennsylvania",Pennsylvania,284,0,-4,"1,000.00"
1940,,5th place,Placed,"Nelson, Byron",1940,5,United States,,,,,,,
1941,,17th place,Placed,"Nelson, Byron",1941,17,United States,,,,,,,
1946,,2nd place,Placed,"Nelson, Byron",1946,2,United States,,,,,,,
1949,,Cut from tournament,Cut,"Nelson, Byron",1949,,United States,,,,,,,
1955,,28th place,Placed,"Nelson, Byron",1955,28,United States,,,,,,,
2006,,Died: 2006,Died,"Nelson, Byron",2006,,United States,,,,,,,
1947,,Born: 1947,Born,"Nelson, Larry",1947,,United States,,,,,,,
1976,,21st place,Placed,"Nelson, Larry",1976,21,United States,,,,,,,
1977,,54th place,Placed,"Nelson, Larry",1977,54,United States,,,,,,,
1978,,Cut from tournament,Cut,"Nelson, Larry",1978,,United States,,,,,,,
1979,,4th place,Placed,"Nelson, Larry",1979,4,United States,,,,,,,
1980,,60th place,Placed,"Nelson, Larry",1980,60,United States,,,,,,,
1981,,20th place,Placed,"Nelson, Larry",1981,20,United States,,,,,,,
1982,,19th place,Placed,"Nelson, Larry",1982,19,United States,,,,,,,
1983,,"Larry Nelson wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 280 (-4) and by a margin of 1 stroke, earning $72,000.",Victory,"Nelson, Larry",1983,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,280,1,-4,"72,000.00"
1984,,Cut from tournament,Cut,"Nelson, Larry",1984,,United States,,,,,,,
1985,,39th place,Placed,"Nelson, Larry",1985,39,United States,,,,,,,
1986,,35th place,Placed,"Nelson, Larry",1986,35,United States,,,,,,,
1987,,Cut from tournament,Cut,"Nelson, Larry",1987,,United States,,,,,,,
1988,,62nd place,Placed,"Nelson, Larry",1988,62,United States,,,,,,,
1989,,13th place,Placed,"Nelson, Larry",1989,13,United States,,,,,,,
1990,,14th place,Placed,"Nelson, Larry",1990,14,United States,,,,,,,
1991,,3rd place,Placed,"Nelson, Larry",1991,3,United States,,,,,,,
1992,,Cut from tournament,Cut,"Nelson, Larry",1992,,United States,,,,,,,
1993,,46th place,Placed,"Nelson, Larry",1993,46,United States,,,,,,,
1994,,Cut from tournament,Cut,"Nelson, Larry",1994,,United States,,,,,,,
1997,,Cut from tournament,Cut,"Nelson, Larry",1997,,United States,,,,,,,
1940,,Born: 1940,Born,"Nicklaus, Jack",1940,,United States,,,,,,,
1957,,Cut from tournament,Cut,"Nicklaus, Jack",1957,,United States,,,,,,,
1958,,41st place,Placed,"Nicklaus, Jack",1958,41,United States,,,,,,,
1959,,Cut from tournament,Cut,"Nicklaus, Jack",1959,,United States,,,,,,,
1960,,2nd place,Placed,"Nicklaus, Jack",1960,2,United States,,,,,,,
1961,,4th place,Placed,"Nicklaus, Jack",1961,4,United States,,,,,,,
1962,,"Jack Nicklaus wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 283 (-1) in a playoff, earning $17,500.",Victory,"Nicklaus, Jack",1962,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,283,0,-1,"17,500.00"
1963,,Cut from tournament,Cut,"Nicklaus, Jack",1963,,United States,,,,,,,
1964,,23rd place,Placed,"Nicklaus, Jack",1964,23,United States,,,,,,,
1965,,32nd place,Placed,"Nicklaus, Jack",1965,32,United States,,,,,,,
1966,,3rd place,Placed,"Nicklaus, Jack",1966,3,United States,,,,,,,
1967,,"Jack Nicklaus wins for the 2nd time at Baltusrol Golf Club, Lower Course (Springfield, New Jersey) with a score of 275 (-5) and by a margin of 4 strokes, earning $30,000.",Victory,"Nicklaus, Jack",1967,1,United States,"Baltusrol Golf Club, Lower Course","Springfield, New Jersey",New Jersey,275,4,-5,"30,000.00"
1968,,2nd place,Placed,"Nicklaus, Jack",1968,2,United States,,,,,,,
1969,,25th place,Placed,"Nicklaus, Jack",1969,25,United States,,,,,,,
1970,,49th place,Placed,"Nicklaus, Jack",1970,49,United States,,,,,,,
1971,,2nd place,Placed,"Nicklaus, Jack",1971,2,United States,,,,,,,
1972,,"Jack Nicklaus wins for the 3rd time at Pebble Beach Golf Links (Pebble Beach, California) with a score of 290 (+2) and by a margin of 3 strokes, earning $30,000.",Victory,"Nicklaus, Jack",1972,1,United States,Pebble Beach Golf Links,"Pebble Beach, California",California,290,3,2,"30,000.00"
1973,,4th place,Placed,"Nicklaus, Jack",1973,4,United States,,,,,,,
1974,,10th place,Placed,"Nicklaus, Jack",1974,10,United States,,,,,,,
1975,,7th place,Placed,"Nicklaus, Jack",1975,7,United States,,,,,,,
1976,,11th place,Placed,"Nicklaus, Jack",1976,11,United States,,,,,,,
1977,,10th place,Placed,"Nicklaus, Jack",1977,10,United States,,,,,,,
1978,,6th place,Placed,"Nicklaus, Jack",1978,6,United States,,,,,,,
1979,,9th place,Placed,"Nicklaus, Jack",1979,9,United States,,,,,,,
1980,,"Jack Nicklaus wins for the 4th time at Baltusrol Golf Club, Lower Course (Springfield, New Jersey) with a score of 272 (-8) and by a margin of 2 strokes, earning $55,000. With this victory, he holds the record for most U.S Open victories (tied with Willie Anderson, Bobby Jones, and Ben Hogan)",Victory,"Nicklaus, Jack",1980,1,United States,"Baltusrol Golf Club, Lower Course","Springfield, New Jersey",New Jersey,272,2,-8,"55,000.00"
1981,,6th place,Placed,"Nicklaus, Jack",1981,6,United States,,,,,,,
1982,,2nd place,Placed,"Nicklaus, Jack",1982,2,United States,,,,,,,
1983,,43rd place,Placed,"Nicklaus, Jack",1983,43,United States,,,,,,,
1984,,21st place,Placed,"Nicklaus, Jack",1984,21,United States,,,,,,,
1985,,Cut from tournament,Cut,"Nicklaus, Jack",1985,,United States,,,,,,,
1986,,8th place,Placed,"Nicklaus, Jack",1986,8,United States,,,,,,,
1987,,46th place,Placed,"Nicklaus, Jack",1987,46,United States,,,,,,,
1988,,Cut from tournament,Cut,"Nicklaus, Jack",1988,,United States,,,,,,,
1989,,43rd place,Placed,"Nicklaus, Jack",1989,43,United States,,,,,,,
1990,,33rd place,Placed,"Nicklaus, Jack",1990,33,United States,,,,,,,
1991,,46th place,Placed,"Nicklaus, Jack",1991,46,United States,,,,,,,
1992,,Cut from tournament,Cut,"Nicklaus, Jack",1992,,United States,,,,,,,
1993,,72nd place,Placed,"Nicklaus, Jack",1993,72,United States,,,,,,,
1994,,28th place,Placed,"Nicklaus, Jack",1994,28,United States,,,,,,,
1995,,Cut from tournament,Cut,"Nicklaus, Jack",1995,,United States,,,,,,,
1996,,27th place,Placed,"Nicklaus, Jack",1996,27,United States,,,,,,,
1997,,52nd place,Placed,"Nicklaus, Jack",1997,52,United States,,,,,,,
1998,,43rd place,Placed,"Nicklaus, Jack",1998,43,United States,,,,,,,
1999,,Cut from tournament,Cut,"Nicklaus, Jack",1999,,United States,,,,,,,
2000,,Cut from tournament,Cut,"Nicklaus, Jack",2000,,United States,,,,,,,
1950,,Born: 1950,Born,"North, Andy",1950,,United States,,,,,,,
1975,,12th place,Placed,"North, Andy",1975,12,United States,,,,,,,
1976,,14th place,Placed,"North, Andy",1976,14,United States,,,,,,,
1977,,Cut from tournament,Cut,"North, Andy",1977,,United States,,,,,,,
1978,,"Andy North wins at Cherry Hills Country Club (Cherry Hills Village, Colorado) with a score of 285 (+1) and by a margin of 1 stroke, earning $45,000.",Victory,"North, Andy",1978,1,United States,Cherry Hills Country Club,"Cherry Hills Village, Colorado",Colorado,285,1,1,"45,000.00"
1979,,11th place,Placed,"North, Andy",1979,11,United States,,,,,,,
1980,,8th place,Placed,"North, Andy",1980,8,United States,,,,,,,
1981,,43rd place,Placed,"North, Andy",1981,43,United States,,,,,,,
1982,,22nd place,Placed,"North, Andy",1982,22,United States,,,,,,,
1983,,10th place,Placed,"North, Andy",1983,10,United States,,,,,,,
1984,,Cut from tournament,Cut,"North, Andy",1984,,United States,,,,,,,
1985,,"Andy North wins for the 2nd time at Oakland Hills Country Club, South Course (Bloomfield Hills, Michigan) with a score of 279 (-1) and by a margin of 1 stroke, earning $103,000.",Victory,"North, Andy",1985,1,United States,"Oakland Hills Country Club, South Course","Bloomfield Hills, Michigan",Michigan,279,1,-1,"103,000.00"
1986,,67th place,Placed,"North, Andy",1986,67,United States,,,,,,,
1987,,Cut from tournament,Cut,"North, Andy",1987,,United States,,,,,,,
1988,,Cut from tournament,Cut,"North, Andy",1988,,United States,,,,,,,
1989,,Cut from tournament,Cut,"North, Andy",1989,,United States,,,,,,,
1990,,51st place,Placed,"North, Andy",1990,51,United States,,,,,,,
1991,,37th place,Placed,"North, Andy",1991,37,United States,,,,,,,
1992,,Cut from tournament,Cut,"North, Andy",1992,,United States,,,,,,,
1993,,Cut from tournament,Cut,"North, Andy",1993,,United States,,,,,,,
1994,,Cut from tournament,Cut,"North, Andy",1994,,United States,,,,,,,
1995,,Cut from tournament,Cut,"North, Andy",1995,,United States,,,,,,,
1977,,Born: 1977,Born,"Ogilvy, Geoff",1977,,Australia,,,,,,,
2003,,Cut from tournament,Cut,"Ogilvy, Geoff",2003,,Australia,,,,,,,
2005,,28th place,Placed,"Ogilvy, Geoff",2005,28,Australia,,,,,,,
2006,,"Geoff Ogilvy wins at Winged Foot Golf Club, West Course (Mamaroneck, New York) with a score of 285 (+5) and by a margin of 1 stroke, earning $1,225,000.",Victory,"Ogilvy, Geoff",2006,1,Australia,"Winged Foot Golf Club, West Course","Mamaroneck, New York",New York,285,1,5,"1,225,000.00"
2007,,42nd place,Placed,"Ogilvy, Geoff",2007,42,Australia,,,,,,,
2008,,9th place,Placed,"Ogilvy, Geoff",2008,9,Australia,,,,,,,
2009,,47th place,Placed,"Ogilvy, Geoff",2009,47,Australia,,,,,,,
2010,,Cut from tournament,Cut,"Ogilvy, Geoff",2010,,Australia,,,,,,,
2011,,Cut from tournament,Cut,"Ogilvy, Geoff",2011,,Australia,,,,,,,
2012,,Cut from tournament,Cut,"Ogilvy, Geoff",2012,,Australia,,,,,,,
2013,,32nd place,Placed,"Ogilvy, Geoff",2013,32,Australia,,,,,,,
2014,,Cut from tournament,Cut,"Ogilvy, Geoff",2014,,Australia,,,,,,,
2015,,18th place,Placed,"Ogilvy, Geoff",2015,18,Australia,,,,,,,
2016,,Cut from tournament,Cut,"Ogilvy, Geoff",2016,,Australia,,,,,,,
1893,,Born: 1893,Born,"Ouimet, Francis",1893,,United States,,,,,,,
1913,,"Francis Ouimet (an amateur) wins at The Country Club (Brookline, Massachusetts) with a score of 304 in a playoff.",Victory,"Ouimet, Francis",1913,1,United States,The Country Club,"Brookline, Massachusetts",Massachusetts,304,0,,0.00
1914,,5th place,Placed,"Ouimet, Francis",1914,5,United States,,,,,,,
1915,,35th place,Placed,"Ouimet, Francis",1915,35,United States,,,,,,,
1919,,18th place,Placed,"Ouimet, Francis",1919,18,United States,,,,,,,
1923,,29th place,Placed,"Ouimet, Francis",1923,29,United States,,,,,,,
1925,,3rd place,Placed,"Ouimet, Francis",1925,3,United States,,,,,,,
1967,,Died: 1967,Died,"Ouimet, Francis",1967,,United States,,,,,,,
1929,,Born: 1929,Born,"Palmer, Arnold",1929,,United States,,,,,,,
1953,,Cut from tournament,Cut,"Palmer, Arnold",1953,,United States,,,,,,,
1954,,Cut from tournament,Cut,"Palmer, Arnold",1954,,United States,,,,,,,
1955,,21st place,Placed,"Palmer, Arnold",1955,21,United States,,,,,,,
1956,,7th place,Placed,"Palmer, Arnold",1956,7,United States,,,,,,,
1957,,Cut from tournament,Cut,"Palmer, Arnold",1957,,United States,,,,,,,
1958,,23rd place,Placed,"Palmer, Arnold",1958,23,United States,,,,,,,
1959,,5th place,Placed,"Palmer, Arnold",1959,5,United States,,,,,,,
1960,,"Arnold Palmer wins at Cherry Hills Country Club (Cherry Hills Village, Colorado) with a score of 280 (-4) and by a margin of 2 strokes, earning $14,400.",Victory,"Palmer, Arnold",1960,1,United States,Cherry Hills Country Club,"Cherry Hills Village, Colorado",Colorado,280,2,-4,"14,400.00"
1961,,14th place,Placed,"Palmer, Arnold",1961,14,United States,,,,,,,
1962,,2nd place,Placed,"Palmer, Arnold",1962,2,United States,,,,,,,
1963,,2nd place,Placed,"Palmer, Arnold",1963,2,United States,,,,,,,
1964,,5th place,Placed,"Palmer, Arnold",1964,5,United States,,,,,,,
1965,,Cut from tournament,Cut,"Palmer, Arnold",1965,,United States,,,,,,,
1966,,2nd place,Placed,"Palmer, Arnold",1966,2,United States,,,,,,,
1967,,2nd place,Placed,"Palmer, Arnold",1967,2,United States,,,,,,,
1968,,59th place,Placed,"Palmer, Arnold",1968,59,United States,,,,,,,
1969,,6th place,Placed,"Palmer, Arnold",1969,6,United States,,,,,,,
1970,,54th place,Placed,"Palmer, Arnold",1970,54,United States,,,,,,,
1971,,24th place,Placed,"Palmer, Arnold",1971,24,United States,,,,,,,
1972,,3rd place,Placed,"Palmer, Arnold",1972,3,United States,,,,,,,
1973,,4th place,Placed,"Palmer, Arnold",1973,4,United States,,,,,,,
1974,,5th place,Placed,"Palmer, Arnold",1974,5,United States,,,,,,,
1975,,9th place,Placed,"Palmer, Arnold",1975,9,United States,,,,,,,
1976,,50th place,Placed,"Palmer, Arnold",1976,50,United States,,,,,,,
1977,,19th place,Placed,"Palmer, Arnold",1977,19,United States,,,,,,,
1978,,Cut from tournament,Cut,"Palmer, Arnold",1978,,United States,,,,,,,
1979,,59th place,Placed,"Palmer, Arnold",1979,59,United States,,,,,,,
1980,,63rd place,Placed,"Palmer, Arnold",1980,63,United States,,,,,,,
1981,,Cut from tournament,Cut,"Palmer, Arnold",1981,,United States,,,,,,,
1982,,Cut from tournament,Cut,"Palmer, Arnold",1982,,United States,,,,,,,
1983,,60th place,Placed,"Palmer, Arnold",1983,60,United States,,,,,,,
1994,,Cut from tournament,Cut,"Palmer, Arnold",1994,,United States,,,,,,,
2016,,Died: 2016,Died,"Palmer, Arnold",2016,,United States,,,,,,,
1909,,Born: 1909,Born,"Parks, Sam (Jr.)",1909,,United States,,,,,,,
1931,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1931,,United States,,,,,,,
1932,,66th place,Placed,"Parks, Sam (Jr.)",1932,66,United States,,,,,,,
1934,,37th place,Placed,"Parks, Sam (Jr.)",1934,37,United States,,,,,,,
1935,,"Sam Parks, Jr. wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 299 (+11) and by a margin of 2 strokes, earning $1,000.",Victory,"Parks, Sam (Jr.)",1935,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,299,2,11,"1,000.00"
1936,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1936,,United States,,,,,,,
1937,,16th place,Placed,"Parks, Sam (Jr.)",1937,16,United States,,,,,,,
1938,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1938,,United States,,,,,,,
1939,,38th place,Placed,"Parks, Sam (Jr.)",1939,38,United States,,,,,,,
1940,,29th place,Placed,"Parks, Sam (Jr.)",1940,29,United States,,,,,,,
1941,,33rd place,Placed,"Parks, Sam (Jr.)",1941,33,United States,,,,,,,
1946,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1946,,United States,,,,,,,
1947,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1947,,United States,,,,,,,
1951,,Cut from tournament,Cut,"Parks, Sam (Jr.)",1951,,United States,,,,,,,
1997,,Died: 1997,Died,"Parks, Sam (Jr.)",1997,,United States,,,,,,,
1953,,Born: 1953,Born,"Pate, Jerry",1953,,United States,,,,,,,
1975,,18th place,Placed,"Pate, Jerry",1975,18,United States,,,,,,,
1976,,"Jerry Pate wins at Atlanta Athletic Club, Highlands Course (Duluth, Georgia) with a score of 277 (-3) and by a margin of 2 strokes, earning $42,000.",Victory,"Pate, Jerry",1976,1,United States,"Atlanta Athletic Club, Highlands Course","Duluth, Georgia",Georgia,277,2,-3,"42,000.00"
1977,,Cut from tournament,Cut,"Pate, Jerry",1977,,United States,,,,,,,
1978,,16th place,Placed,"Pate, Jerry",1978,16,United States,,,,,,,
1979,,2nd place,Placed,"Pate, Jerry",1979,2,United States,,,,,,,
1980,,Cut from tournament,Cut,"Pate, Jerry",1980,,United States,,,,,,,
1981,,26th place,Placed,"Pate, Jerry",1981,26,United States,,,,,,,
1982,,Cut from tournament,Cut,"Pate, Jerry",1982,,United States,,,,,,,
1983,,Cut from tournament,Cut,"Pate, Jerry",1983,,United States,,,,,,,
1985,,Cut from tournament,Cut,"Pate, Jerry",1985,,United States,,,,,,,
1989,,Cut from tournament,Cut,"Pate, Jerry",1989,,United States,,,,,,,
1991,,Cut from tournament,Cut,"Pate, Jerry",1991,,United States,,,,,,,
1959,,Born: 1959,Born,"Pavin, Corey",1959,,United States,,,,,,,
1981,,Cut from tournament,Cut,"Pavin, Corey",1981,,United States,,,,,,,
1982,,60th place,Placed,"Pavin, Corey",1982,60,United States,,,,,,,
1983,,Cut from tournament,Cut,"Pavin, Corey",1983,,United States,,,,,,,
1985,,9th place,Placed,"Pavin, Corey",1985,9,United States,,,,,,,
1986,,Cut from tournament,Cut,"Pavin, Corey",1986,,United States,,,,,,,
1988,,Cut from tournament,Cut,"Pavin, Corey",1988,,United States,,,,,,,
1990,,24th place,Placed,"Pavin, Corey",1990,24,United States,,,,,,,
1991,,8th place,Placed,"Pavin, Corey",1991,8,United States,,,,,,,
1992,,Cut from tournament,Cut,"Pavin, Corey",1992,,United States,,,,,,,
1993,,19th place,Placed,"Pavin, Corey",1993,19,United States,,,,,,,
1994,,Cut from tournament,Cut,"Pavin, Corey",1994,,United States,,,,,,,
1995,,"Corey Pavin wins at Shinnecock Hills Golf Club (Shinnecock Hills, New York) with a score of 280 (E) and by a margin of 2 strokes, earning $350,000.",Victory,"Pavin, Corey",1995,1,United States,Shinnecock Hills Golf Club,"Shinnecock Hills, New York",New York,280,2,0,"350,000.00"
1996,,40th place,Placed,"Pavin, Corey",1996,40,United States,,,,,,,
1997,,Cut from tournament,Cut,"Pavin, Corey",1997,,United States,,,,,,,
1998,,Cut from tournament,Cut,"Pavin, Corey",1998,,United States,,,,,,,
1999,,34th place,Placed,"Pavin, Corey",1999,34,United States,,,,,,,
2000,,Cut from tournament,Cut,"Pavin, Corey",2000,,United States,,,,,,,
2001,,19th place,Placed,"Pavin, Corey",2001,19,United States,,,,,,,
2002,,54th place,Placed,"Pavin, Corey",2002,54,United States,,,,,,,
2003,,Cut from tournament,Cut,"Pavin, Corey",2003,,United States,,,,,,,
2004,,17th place,Placed,"Pavin, Corey",2004,17,United States,,,,,,,
2005,,11th place,Placed,"Pavin, Corey",2005,11,United States,,,,,,,
2006,,Cut from tournament,Cut,"Pavin, Corey",2006,,United States,,,,,,,
1935,,Born: 1935,Born,"Player, Gary",1935,,South Africa,,,,,,,
1958,,2nd place,Placed,"Player, Gary",1958,2,South Africa,,,,,,,
1959,,15th place,Placed,"Player, Gary",1959,15,South Africa,,,,,,,
1960,,19th place,Placed,"Player, Gary",1960,19,South Africa,,,,,,,
1961,,9th place,Placed,"Player, Gary",1961,9,South Africa,,,,,,,
1962,,6th place,Placed,"Player, Gary",1962,6,South Africa,,,,,,,
1963,,8th place,Placed,"Player, Gary",1963,8,South Africa,,,,,,,
1964,,23rd place,Placed,"Player, Gary",1964,23,South Africa,,,,,,,
1965,,"Gary Player wins at Bellerive Country Club (St. Louis, Missouri) with a score of 282 (+2) in a playoff, earning $26,000.",Victory,"Player, Gary",1965,1,South Africa,Bellerive Country Club,"St. Louis, Missouri",Missouri,282,0,2,"26,000.00"
1966,,15th place,Placed,"Player, Gary",1966,15,South Africa,,,,,,,
1967,,12th place,Placed,"Player, Gary",1967,12,South Africa,,,,,,,
1968,,16th place,Placed,"Player, Gary",1968,16,South Africa,,,,,,,
1969,,48th place,Placed,"Player, Gary",1969,48,South Africa,,,,,,,
1970,,44th place,Placed,"Player, Gary",1970,44,South Africa,,,,,,,
1971,,27th place,Placed,"Player, Gary",1971,27,South Africa,,,,,,,
1972,,15th place,Placed,"Player, Gary",1972,15,South Africa,,,,,,,
1973,,12th place,Placed,"Player, Gary",1973,12,South Africa,,,,,,,
1974,,8th place,Placed,"Player, Gary",1974,8,South Africa,,,,,,,
1975,,43rd place,Placed,"Player, Gary",1975,43,South Africa,,,,,,,
1976,,23rd place,Placed,"Player, Gary",1976,23,South Africa,,,,,,,
1977,,10th place,Placed,"Player, Gary",1977,10,South Africa,,,,,,,
1978,,6th place,Placed,"Player, Gary",1978,6,South Africa,,,,,,,
1979,,2nd place,Placed,"Player, Gary",1979,2,South Africa,,,,,,,
1980,,Cut from tournament,Cut,"Player, Gary",1980,,South Africa,,,,,,,
1981,,26th place,Placed,"Player, Gary",1981,26,South Africa,,,,,,,
1982,,Cut from tournament,Cut,"Player, Gary",1982,,South Africa,,,,,,,
1983,,20th place,Placed,"Player, Gary",1983,20,South Africa,,,,,,,
1984,,43rd place,Placed,"Player, Gary",1984,43,South Africa,,,,,,,
1988,,Cut from tournament,Cut,"Player, Gary",1988,,South Africa,,,,,,,
1989,,Cut from tournament,Cut,"Player, Gary",1989,,South Africa,,,,,,,
1874,,Born: 1874,Born,"Rawlins, Horace",1874,,United Kingdom,,,,,,,
1895,,"Horace Rawlins wins at Newport Country Club (Newport, Rhode Island) with a score of 173 and by a margin of 2 strokes, earning $150.",Victory,"Rawlins, Horace",1895,1,United Kingdom,Newport Country Club,"Newport, Rhode Island",Rhode Island,173,2,,150.00
1896,,2nd place,Placed,"Rawlins, Horace",1896,2,United Kingdom,,,,,,,
1897,,8th place,Placed,"Rawlins, Horace",1897,8,United Kingdom,,,,,,,
1898,,19th place,Placed,"Rawlins, Horace",1898,19,United Kingdom,,,,,,,
1899,,13th place,Placed,"Rawlins, Horace",1899,13,United Kingdom,,,,,,,
1900,,30th place,Placed,"Rawlins, Horace",1900,30,United Kingdom,,,,,,,
1901,,17th place,Placed,"Rawlins, Horace",1901,17,United Kingdom,,,,,,,
1902,,16th place,Placed,"Rawlins, Horace",1902,16,United Kingdom,,,,,,,
